Source:,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch
Date:,fre 11 feb 2022 14:17:39
Tool:,Eeschema (6.0.1)
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value.py
Component Count:,82
,
Individual Components:,
,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Description,Height,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock,part #
,,1v1,1v94_TEST,Connector:TestPoint,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,,,,,,,
,,1v94_ok1,D597-5111-407F3,Device:LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,D597-5111-407F3
,,3v1,3v3_TEST,Connector:TestPoint,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,,,,,,,
,,3v3_ok1,D597-5111-407F3,Device:LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,D597-5111-407F3
,,5v1,5v_TEST,Connector:TestPoint,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,,,,,,,
,,5v_ok1,D597-5111-407F3,Device:LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,D597-5111-407F3
,,BACK_SIDE1,D2F-01F,mouse:D2F-01F,mouse:D2F-01F,,,,,,,,
,,C1,4u7,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C2,10u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C3,10u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C4,4u7,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C5,100n,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C6,10u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C7,4u7,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C8,4u7,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C9,4u7,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C10,18p,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C11,18p,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C12,4.7u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C13,4.7u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C14,4.7u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C15,4.7u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C16,4.7u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C17,4.7u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C18,4.7u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C19,10u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C20,10u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C21,10u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C22,10u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C23,4u7,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,C24,10u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,
,,D5,SS16HE,Diode:1N4001,mouse:SOD-323HE,http://www.vishay.com/docs/88503/1n4001.pdf,,,,,,,SS16HE
,,enc1,EC10E1220505,mouse:EC10E1220505,mouse:EC10E1220505,https://tech.alpsalpine.com/prod/e/html/encoder/incremental/ec10e/ec10e1220505.html,10mm Size Hollow Shaft Type EC10E Incremental Encoder,10.6,ALPS Electric,EC10E1220505,688-EC10E1220505,https://www.mouser.co.uk/ProductDetail/Alps-Alpine/EC10E1220505?qs=seHrhfPpLDy2J0FZRG9wSg%3D%3D,
,,FRONT_SIDE1,D2F-01F,mouse:D2F-01F,mouse:D2F-01F,,,,,,,,
,,gnd1,GND_TEST,Connector:TestPoint,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,,,,,,,
,,J1,RND 205-00624,Connector:Conn_01x03_Male,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~,,,,,,,
,,J2,RND 205-00627,Connector:Conn_01x06_Male,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,~,,,,,,,
,,J3,Motor con,Connector:Conn_01x02_Male,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,~,,,,,,,
,,J4,Conn_01x04_Male,Connector:Conn_01x04_Male,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~,,,,,,,
,,J5,Conn_01x04_Male,Connector:Conn_01x04_Male,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~,,,,,,,
,,J6,USB_OTG_custom,mouse:USB_OTG_custom,mouse:USB_2.45, ~,,,,,,,
,,J7,i2c header,Connector:Conn_01x04_Male,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~,,,,,,,
,,J8,i2c header,Connector:Conn_01x04_Male,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~,,,,,,,
,,LEFT_BUTTON1,D2F-01F,mouse:D2F-01F,mouse:D2F-01F,,,,,,,,D2F-01F
,,MOTION1,MOTION_TEST,Connector:TestPoint,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,,,,,,,
,,PH1,PH0_TEST,Connector:TestPoint,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,,,,,,,
,,PH2,PH1_TEST,Connector:TestPoint,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,,,,,,,
,,Q1,TSM2308CX RFG,Device:Q_NMOS_GSD,Package_TO_SOT_SMD:SOT-23,~,,,,,,,TSM2308CX RFG
,,R1,13,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,RND 155HP05W3F130JT5E
,,R2,10k,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,RT0805FRE0710KL
,,R3,1k,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,RC0805FR-071KL
,,R4,4.7k,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,RC0805FR-074K7L
,,R5,10k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,RC0805FR-071KL
,,R6,4.7k,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,RC0805FR-074K7L
,,R7,4.7k,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,RC0805FR-074K7L
,,R8,56,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,RND 155HP05W3F560JT5E
,,R9,10k,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,RT0805FRE0710KL
,,R10,1k,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,RC0805FR-071KL
,,R11,4.7k,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,RC0805FR-074K7L
,,R12,4.7k,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,RC0805FR-074K7L
,,R13,680m,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,
,,R14,10k,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,RT0805FRE0710KL
,,R15,10k,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,RT0805FRE0710KL
,,R16,680m,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,
,,R17,8.1999999999999993,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,
,,R18,10k,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,
,,R19,10k,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,RT0805FRE0710KL
,,RIGHT_BUTTON1,D2F-01F,mouse:D2F-01F,mouse:D2F-01F,,,,,,,,D2F-01F
,,SW1,RND 210-00210,Switch:SW_Push,Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm,~,,,,,,,
,,SW2,SW_Push,Switch:SW_Push,mouse:evqP0E07,~,,,,,,,evqP0E07
,,U1,LP2985IM5-2.0/NOPB,Regulator_Linear:MIC5205-2.5YM5,Package_TO_SOT_SMD:SOT-23-5,https://www.ti.com/lit/ds/symlink/lp2985lv-n.pdf?HQS=dis-mous-null-mousermode-dsf-pf-null-wwe&ts=1644322369088,,,,,,,LP2985IM5-2.0/NOPB
,,U2,TS3480CX33 RFG,Regulator_Linear:AP2127N-3.3,Package_TO_SOT_SMD:SOT-23,https://www.diodes.com/assets/Datasheets/AP2127.pdf,,,,,,,TS3480CX33 RFG
,,U3,PWM3389DM-T3QU,mouse:PWM3389DM-T3QU,mouse:PMW3389DM-T3QU,,,,,,,,PWM3389DM-T3QU
,,U4,STM32F401RBTx,MCU_ST_STM32F4:STM32F401RBTx,Package_QFP:LQFP-64_10x10mm_P0.5mm,http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00086815.pdf,,,,,,,
,,U5,LFXTAL055951,mouse:LFXTAL055951,mouse:LFXTAL055951,,,,,,,,
,,U6,9DB403DGLFT,mouse:TSSOP28,mouse:TSSOP-24,,,,,,,,
,,U7,RND 135-00249,mouse:RND 135-00249,mouse:RND_135-00249,,,,,,,,
,,U8,RND 135-00249,mouse:RND 135-00249,mouse:RND_135-00249,,,,,,,,
,,U9,RND 135-00249,mouse:RND 135-00249,mouse:RND_135-00249,,,,,,,,
,,U10,RND 135-00249,mouse:RND 135-00249,mouse:RND_135-00249,,,,,,,,
,,U11,RND 135-00249,mouse:RND 135-00249,mouse:RND_135-00249,,,,,,,,
,,U12,RND 135-00249,mouse:RND 135-00249,mouse:RND_135-00249,,,,,,,,
,,,,,,,,,,,,,
Replacing all the pinheaders with one of these,,,,,,,,,,,,,
https://www.elfa.se/en/ss-straight-male-pcb-header-through-hole-rows-36-contacts-54mm-pitch-prostar-ss-1x36-t1-3mm/p/14370219?q=&pos=1&origPos=36&origPageSize=50&track=true,,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Description,Height,Manufacturer_Name,Manufacturer_Part_Number,extended price,price,part #,in stock,min order,diff to max order,price at max,link
1,1,1v1,1v94_TEST,Connector:TestPoint,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,,,,,0,0,n/a,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,0,0,0,
2,3,"1v94_ok1, 3v3_ok1, 5v_ok1",D597-5111-407F3,Device:LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,34.859999999999999,5.8099999999999996,D597-5111-407F3,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,3,0,0,https://www.elfa.se/sv/lysdiod-smd-roed-647nm-25ma-7v-150-dialight-597-5111-407f/p/30133721
3,1,3v1,3v3_TEST,Connector:TestPoint,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,,,,,0,0,n/a,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,0,0,0,
4,1,5v1,5v_TEST,Connector:TestPoint,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,,,,,0,0,n/a,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,0,0,0,
5,4,"BACK_SIDE1, FRONT_SIDE1, LEFT_BUTTON1, RIGHT_BUTTON1",D2F-01F,mouse:D2F-01F,mouse:D2F-01F,,,,,,82.400000000000006,10.300000000000001,D2F-01F,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,3,0,0,https://www.elfa.se/en/micro-switch-d2f-100ma-1co-74n-plunger-omron-electronic-components-d2f-01f/p/11082662?track=true&no-cache=true&marketingPopup=false
6,13,"C1, C4, C7, C8, C9, C23, C12, C13, C14, C15, C16, C17, C18",4u7,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,24.310000000000002,0.93500000000000005,CL21A475KAQNNNE,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,5,0,0,https://se.farnell.com/samsung-electro-mechanics/cl21a475kaqnnne/cap-4-7uf-25v-mlcc-0805/dp/3013462
7,8,"C2, C3, C6, C19, C20, C21, C22, C24",10u,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,29.120000000000001,1.8200000000000001,CC0805KKX5R6BB106,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,50,34,61.880000000000003,
8,1,C5,100n,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,0,0,n/a,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,0,0,0,
9,2,"C10, C11",18p,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,1.8200000000000001,0.45500000000000002,C0805C180J5GACTU,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,10,6,2.73,https://se.rs-online.com/web/p/mlccs-multilayer-ceramic-capacitors/6480935
11,1,D5,SS16HE,Diode:1N4001,mouse:SOD-323HE,http://www.vishay.com/docs/88503/1n4001.pdf,,,,,8.7799999999999994,4.3899999999999997,SS16HE,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,,0,0,https://www.elfa.se/en/schottky-diode-1a-60v-sod-323he-onsemi-ss16he/p/30230979?queryFromSuggest=true
12,1,enc1,EC10E1220505,mouse:EC10E1220505,mouse:EC10E1220505,https://tech.alpsalpine.com/prod/e/html/encoder/incremental/ec10e/ec10e1220505.html,10mm Size Hollow Shaft Type EC10E Incremental Encoder,10.6,ALPS Electric,EC10E1220505,16.420000000000002,8.2100000000000009,EC10E1220505,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,10,8,65.680000000000007,https://se.farnell.com/alps/ec10e1220505/encoder-horiz-10mm-24det-12ppr/dp/2064974
13,1,gnd1,GND_TEST,Connector:TestPoint,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,,,,,0,0,n/a,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,0,0,0,
14,1,J1,RND 205-00624,Connector:Conn_01x03_Male,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~,,,,,0,0,RND 205-00624,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,50,48,0,https://www.elfa.se/en/straight-male-pcb-header-through-hole-rows-contacts-54mm-pitch-rnd-connect-rnd-205-00624/p/30093644?track=true&no-cache=true&marketingPopup=false
15,1,J2,RND 205-00627,Connector:Conn_01x06_Male,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,~,,,,,0,0,RND 205-00627,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,25,23,0,
16,1,J3,Motor con,Connector:Conn_01x02_Male,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,~,,,,,0,0,n/a,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,0,0,0,
17,2,"J4, J5",Conn_01x04_Male,Connector:Conn_01x04_Male,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~,,,,,0,0,n/a,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,0,0,0,
18,1,J6,USB_OTG_custom,mouse:USB_OTG_custom,mouse:USB_2.45, ~,,,,,0,0,n/a,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,0,0,0,
19,2,"J7, J8",i2c header,Connector:Conn_01x04_Male,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~,,,,,0,0,n/a,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,0,0,0,
20,1,MOTION1,MOTION_TEST,Connector:TestPoint,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,,,,,0,0,n/a,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,0,0,0,
21,1,PH1,PH0_TEST,Connector:TestPoint,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,,,,,0,0,n/a,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,0,0,0,
22,1,PH2,PH1_TEST,Connector:TestPoint,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,~,,,,,0,0,n/a,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,0,0,0,
23,1,Q1,TSM2308CX RFG,Device:Q_NMOS_GSD,Package_TO_SOT_SMD:SOT-23,~,,,,,10.42,5.21,TSM2308CX RFG,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,3,1,5.21,https://www.elfa.se/en/mosfet-single-channel-60v-3a-25w-sot-23-taiwan-semiconductor-tsm2308cx-rfg/p/30139432?track=true&no-cache=true&marketingPopup=false
24,1,R1,15,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,0,0,n/a,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,0,0,0,https://www.elfa.se/en/high-power-thick-film-smd-resistor-0805-13ohm-330mw-rnd-components-rnd-155hp05w3f130jt5e/p/30111773?track=true&no-cache=true&marketingPopup=false
25,7,"R2, R9, R14, R15, R18, R19, R5",10k,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,19.739999999999998,1.4099999999999999,KTR10EZPF1002,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,10,0,0,https://se.farnell.com/rohm/ktr10ezpf1002/res-10k-1-0-125w-0805-thick-film/dp/2919056
26,2,"R3, R10",1k,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,0,0,n/a,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,0,0,0,
27,5,"R4, R6, R7, R11, R12",4.7k,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,0,0,n/a,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,0,0,0,
29,1,R8,56,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,0,0,n/a,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,0,0,0,
30,2,"R13, R16",1,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,5.3200000000000003,1.3300000000000001,CRCW08051R00JNEAHP,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,0,0,0,
31,1,R17,10,Device:R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,0,0,n/a,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,0,0,0,
32,1,SW1,RND 210-00210,Switch:SW_Push,Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm,~,,,,,6.3399999999999999,3.1699999999999999,RND 210-00210,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,10,8,25.359999999999999,https://www.elfa.se/en/pcb-tactile-switch-1no-45n-6mm-rnd-components-rnd-210-00210/p/30090666?track=true&no-cache=true&marketingPopup=false
33,1,SW2,SW_Push,Switch:SW_Push,mouse:evqP0E07,~,,,,,7.5199999999999996,3.7599999999999998,evqP0E07,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,10,8,30.079999999999998,https://se.farnell.com/en-SE/panasonic/evqp0e07k/switch-6-2x6-2mm-0-74n/dp/2079570?st=evqp0e07
34,1,U1,LP2985IM5-2.0/NOPB,Regulator_Linear:MIC5205-2.5YM5,Package_TO_SOT_SMD:SOT-23-5,https://www.ti.com/lit/ds/symlink/lp2985lv-n.pdf?HQS=dis-mous-null-mousermode-dsf-pf-null-wwe&ts=1644322369088,,,,,5.2679999999999998,2.6339999999999999,LP2985IM5-2.0/NOPB,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,10,8,21.071999999999999,https://se.rs-online.com/web/p/voltage-regulators/8258257
35,1,U2,TS3480CX33 RFG,Regulator_Linear:AP2127N-3.3,Package_TO_SOT_SMD:SOT-23,https://www.diodes.com/assets/Datasheets/AP2127.pdf,,,,,16.16,8.0800000000000001,TS3480CX33 RFG,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,3,1,8.0800000000000001,https://www.elfa.se/en/ldo-voltage-regulator-3v-100ma-sot-23-taiwan-semiconductor-ts3480cx33-rfg/p/30139386?track=true&no-cache=true&marketingPopup=false
36,1,U3,PWM3389DM-T3QU,mouse:PWM3389DM-T3QU,mouse:PMW3389DM-T3QU,,,,,,0,0,PWM3389DM-T3QU,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,0,0,0,
37,1,U4,STM32F401RBTx,MCU_ST_STM32F4:STM32F401RBTx,Package_QFP:LQFP-64_10x10mm_P0.5mm,http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00086815.pdf,,,,,0,0,n/a,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,0,0,0,
38,1,U5,LFXTAL055951,mouse:LFXTAL055951,mouse:LFXTAL055951,,,,,,13.699999999999999,6.8499999999999996,LFXTAL055951,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch,3,1,6.8499999999999996,https://www.elfa.se/en/quartz-surface-mount-16mhz-iqd-lfxtal055951/p/30131299?track=true&no-cache=true&marketingPopup=false
