Source:,/home/ivarj/git/project/e7020e-project/schematics_and_pcb/schematics_and_pcb.kicad_sch
Date:,tis  1 feb 2022 18:44:44
Tool:,Eeschema (6.0.1)
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py
Component Count:,59
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor
,,,,,,
"1v94_ok1, ",1,D597-5111-407F3,LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Light emitting diode,
,,,,,,
"3v3_ok1, ",1,D597-5111-407F3,LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Light emitting diode,
"5v_ok1, ",1,D597-5111-407F3,LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Light emitting diode,
"BACK_SIDE1, ",1,D2F-01F,D2F-01F,D2F-01F,,
"C1, C7, C8, C9, ",4,4u7,C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,"Unpolarized capacitor, small symbol",
"C2, C3, C6, ",3,10u,C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,"Unpolarized capacitor, small symbol",
"C4, ",1,4u,C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,"Unpolarized capacitor, small symbol",
"C5, ",1,100n,C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,"Unpolarized capacitor, small symbol",
"C10, C11, ",2,22p,C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,"Unpolarized capacitor, small symbol",
"C12, C13, C14, C15, C16, C17, C18, ",7,4.7u,C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,"Unpolarized capacitor, small symbol",
"enc1, ",1,EC10E1220505,EC10E1220505,,,
"FRONT_SIDE1, ",1,D2F-01F,D2F-01F,D2F-01F,,
"J1, ",1,RND 205-00623 ,Conn_01x03_Male,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",
"J2, ",1,RND 205-00627,Conn_01x06_Male,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",
"LED1, ",1,RND_135-00249,RND_135-00249,,,
"LEFT_BUTTON1, ",1,D2F-01F,D2F-01F,D2F-01F,,
"R1, ",1,13,R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"Resistor, small symbol",
"R2, R5, R9, ",3,10k,R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"Resistor, small symbol",
"R3, R10, ",2,1k,R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"Resistor, small symbol",
"R4, R7, R11, R12, ",4,4.7k,R_Small,,"Resistor, small symbol",
"R6, ",1,18k,R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"Resistor, small symbol",
"R8, ",1,56,R_Small,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"Resistor, small symbol",
"R13, R14, ",2,10k,R_Small,,"Resistor, small symbol",
"RIGHT_BUTTON1, ",1,D2F-01F,D2F-01F,D2F-01F,,
"SW1, ",1,RND 210-00210,SW_Push,Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm,"Push button switch, generic, two pins",
"U1, ",1,MIC5235YM5-TR,MIC5205-2.5YM5,Package_TO_SOT_SMD:SOT-23-5,"150mA low dropout linear regulator, fixed 2.5V output, SOT-23-5",
"U2, ",1,AP2125N-3.3TRG1,AP2127N-3.3,Package_TO_SOT_SMD:SOT-23,"300mA low dropout linear regulator, shutdown pin, 2.5V-6V input voltage, 3.3V fixed positive output, SOT-23 package",
"U3, ",1,PWM3389DM-T3QU,PWM3389DM-T3QU,mouse:PMW3389DM-T3QU,,
"U4, ",1,STM32F411RETx,STM32F411RETx,Package_QFP:LQFP-64_10x10mm_P0.5mm,"ARM Cortex-M4 MCU, 512KB flash, 128KB RAM, 100MHz, 1.7-3.6V, 50 GPIO, LQFP-64",
"USB1, ",1,USB_OTG,USB_OTG,Connector_USB:USB_Mini-B_Tensility_54-00023_Vertical,USB mini/micro connector,
"Y1, ",1,YLFXTAL029370,Crystal,Crystal:Crystal_SMD_HC49-SD_HandSoldering,Two pin crystal,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
